,Alternative SF Returns (Dynamic SF Supply,SPY,Aggregate Bonds,Bitcoin,Ethereum,Commodities,Gold
03/10/2019,0.00000060,0.01344,0.00158,-0.01024,0.00464,0.00803,0.00000
04/10/2019,0.00000009,-0.00432,-0.00273,-0.00010,0.00567,-0.00133,-0.00856
05/10/2019,0.00000004,0.00000,0.00000,0.00804,0.02111,0.00000,0.00000
07/10/2019,0.00000016,-0.01565,0.00035,-0.00305,0.00279,-0.00067,0.00870
08/10/2019,0.00000006,0.00945,-0.00053,0.04744,0.06535,0.00267,0.00092
09/10/2019,0.00000415,0.00674,-0.00344,-0.00073,-0.00841,0.00664,-0.00877
10/10/2019,0.00000009,0.01031,-0.00328,-0.03790,-0.05752,0.01184,-0.00555
11/10/2019,0.00000028,-0.00111,0.00168,0.00604,-0.00345,-0.00459,0.00399
12/10/2019,0.00000000,0.00000,0.00000,-0.00275,0.00729,0.00000,0.00000
13/10/2019,0.00000081,0.00000,0.00000,0.00867,0.02767,0.00000,0.00000
14/10/2019,0.00000330,0.00985,-0.00328,-0.02414,-0.03391,-0.00263,-0.00700
15/10/2019,0.00000067,-0.00161,0.00178,-0.02051,-0.03126,0.00132,0.00571
16/10/2019,0.00000297,0.00294,-0.00027,0.01018,0.01538,0.00394,0.00142
17/10/2019,0.00000474,-0.00439,0.00071,-0.01502,-0.02433,-0.00066,-0.00107
18/10/2019,0.00000018,0.00676,-0.00275,0.00090,-0.00468,-0.00131,-0.00478
19/10/2019,0.00000002,0.00000,0.00000,0.03288,0.01871,0.00000,0.00000
20/10/2019,0.00000060,-0.00327,0.00151,-0.02530,-0.02423,0.00131,0.00293
22/10/2019,0.00000003,0.00291,0.00080,-0.07361,-0.05584,0.01238,0.00235
23/10/2019,0.00022001,0.00163,0.00027,-0.00327,-0.00751,0.00517,0.00709
24/10/2019,0.00019975,0.00409,-0.00142,0.15307,0.12142,0.00578,0.00233
25/10/2019,0.00000088,0.00562,-0.00213,0.06562,-0.00973,-0.00385,-0.00864
26/10/2019,0.00000893,0.00000,0.00000,0.03116,0.02321,0.00000,0.00000
27/10/2019,0.00000001,0.00000,0.00000,-0.03507,-0.01208,0.00000,0.00000
28/10/2019,0.00000389,-0.00030,0.00009,0.02273,0.04847,-0.00193,-0.00278
29/10/2019,0.00000032,0.00306,0.00284,-0.02846,-0.04057,-0.00646,0.00548
30/10/2019,0.00000014,0.01056,-0.00053,0.00482,-0.00848,0.01863,0.00798
